UF,IBGE,COD_FAMILIAR,DT_HORA_ACAO,COD_MOTIVO,MOTIVO                                                                                           ,
SP,3543402,3539360069,16/06/2025 01:23:10,1037,FIM DO PRAZO LIMITE DA REGRA DE PROTECAO                              ,                       
SP,3543402,3541615630,11/10/2025 18:39:01,1037,FIM DO PRAZO LIMITE DA REGRA DE PROTECAO                              ,                       
SP,3543402,3541615630,15/12/2025 00:08:32,1042,FAMILIA COM CADASTRO DESATUALIZADO                                    ,                       
SP,3543402,3557757005,11/10/2025 18:39:01,1037,FIM DO PRAZO LIMITE DA REGRA DE PROTECAO                              ,                       
SP,3543402,3563761841,09/08/2025 16:52:31,1005,RENDA FAMILIAR POR PESSOA SUPERIOR AO LIMITE ESTABELECIDO PELA REGRA D,                       
SP,3543402,3563761841,16/06/2025 01:23:37,1037,FIM DO PRAZO LIMITE DA REGRA DE PROTECAO                              ,                       
SP,3543402,3563761841,15/12/2025 00:08:32,1042,FAMILIA COM CADASTRO DESATUALIZADO                                    ,                       
SP,3543402,3566170410,13/09/2025 22:40:36,1005,RENDA FAMILIAR POR PESSOA SUPERIOR AO LIMITE ESTABELECIDO PELA REGRA D,                       
SP,3543402,3577411961,16/06/2025 01:23:37,1037,FIM DO PRAZO LIMITE DA REGRA DE PROTECAO                              ,                       
SP,3543402,3577411961,15/12/2025 00:08:32,1042,FAMILIA COM CADASTRO DESATUALIZADO                                    ,                       
SP,3543402,3601242320,24/11/2025 21:52:48,1042,FAMILIA COM CADASTRO DESATUALIZADO                                    ,                       
